dr-cuca-dr-claudio-andrade.webp	PERSON portrait: Dr. Cuca (Dr. Claudio Andrade). The Amazonian expatriate scientist behind "Dr. Cuca." His research into simsense conditioning and cybernetic behaviour modification could have made him a leading name — if he'd been more careful about how he obtained test subjects. When one
earl-brown.webp	PERSON portrait: Earl Brown. The villain and recurring Enemy. Joined the UCAS Army in the early 2040s and volunteered as a test subject for an experimental cybernetic tactical computer , using laser designator and orientation system to guide bombs and missiles with pin
futureman-dwarf.webp	PERSON portrait: Futureman (Dwarf). A dwarf Futuremen ganger — tough and hard to drop, with heavy cyber (Body Index 3). Skills: Firearms 5, Unarmed Combat 5. Gear/'ware: heavy armour (7/5) and alpha-grade combat cyberware in the Futuremen pattern (Wired Reflexes, Smartlink, c
futureman-human.webp	PERSON portrait: Futureman (Human). A heavily-cybered Futuremen ganger (alpha-grade 'ware). Mix and match metatypes and loadouts across the gang. Skills: Firearms 5, Unarmed Combat 4. Cyberware (alpha): Cyberarm (+2 Strength, +2 Quickness), Cyber-shotgun, Retractable Spur, Cy
futureman-ork.webp	PERSON portrait: Futureman (Ork). An ork Futuremen ganger — muscle with alpha-grade 'ware and bioware. Skills: Firearms 5, Unarmed Combat 5. (Body Index 2.0.) Cyberware (alpha): Headware Radio (subdermal speakers), Retractable Spur, Smartlink II, Wired Reflexes (2). Bioware
gordon-hawkeye-kurtz.webp	PERSON portrait: Gordon "Hawkeye" Kurtz. A jovial, wisecracking ladies' man who looks eighteen despite being in his late twenties — and a secret physical adept . Ex-Crashcart, hired by DocWagon in late 2052, he found the job even more time-consuming and started leaning on stimulan
lindy-a-k-a-dr-cuca.webp	PERSON portrait: Lindy (a.k.a. "Dr. Cuca"). A Renraku covert operative running the hidden chop shop as cyberdoc "Dr. Cuca," screening the desperate before admitting "patients" to the body shop. Bright, dangerous, and not easily fooled — a capable combatant if cornered. Skills: Firear
liz-yamato.webp	PERSON portrait: Liz Yamato. The handler. A dwarf agent of DocWagon's Internal Security Division and Doctor Bob's old friend, who traced the leak to Expert Team Three. She recruits the team as Temporary Response Personnel, runs their 48-hour crash-course, checks in eac
marcus-powell.webp	PERSON portrait: Marcus Powell. The chief Renraku officer over the Futuremen project — an ambitious climber who keeps Cuca and the staff on a tight leash. He spends much of his time off-site chasing funding and glory, but drops in often to watch everyone. Not liked by the
robert-doctor-bob-khamdeng.webp	PERSON portrait: Robert "Doctor Bob" Khamdeng. The employer. Hired as a DocWagon paramedic in 2043, Robert Khamdeng built a reputation for heroism — and racked up fines for rescuing non-clients — until KNUS turned him into media darling "Doctor Bob" (a nationwide "Korp Kudos" segment, a
seth-palatine.webp	PERSON portrait: Seth Palatine. Balding, business-like leader of DocWagon Expert Team Three, a devout Muslim who reads the Koran and masks his feelings. Born mid-2010s; lost his father and two sisters to VITAS-II, raised poor by his mother on government aid. A paramedic s
sgt-franco-tanner.webp	PERSON portrait: Sgt. Franco Tanner. An honest, hard-working, dedicated Lone Star undercover officer who broke up several major gangs before vanishing into this one. Missing since his last reports named "Dr. Cuca." When the players find him he is a puppet: his control cyberwar
shawn-ferrer.webp	PERSON portrait: Shawn Ferrer. The default mole. A dwarf rigger who grew up "a respectable halfer" in the CAS and served as a CAS-military transport pilot from 2048. In mid-2051 his hovercraft was capsized by Caribbean League pirates off Florida; he nearly drowned and ca
vivianne-viv-geldhausmann.webp	PERSON portrait: Vivianne "Viv" Geldhausmann. Team Three's psychiatrist — short red hair, warm smile, a slight limp from a gunshot to the leg taken pulling a client out of a gang war. Graduated eighth in her class at Cambridge; specialises in cyberpsychosis but fills in ably as a medic
